language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc
Arabic	NER	bert-base-multilingual-cased	attn	6	10000	2000	[0.36325786635279655, 0.32387103559449315, 0.30704513331875205, 0.3006116938777268, 0.29592719534412026, 0.29152653785422444, 0.29137440770864487, 0.29233917174860835, 0.29143851483240724, 0.2958708214573562, 0.2911999225616455, 0.2966483011841774, 0.2971254256553948, 0.30627277260646224, 0.3046803390607238, 0.31914684223011136, 0.31555925868451595, 0.3254323252476752]	77359	0.908780594088169	0.9172549304999636
Arabic	NER	bert-base-multilingual-cased	attn	6	10000	2000	[0.36008650017902255, 0.3214500672183931, 0.3067265246063471, 0.29568976489827037, 0.29195313109084964, 0.2891543647274375, 0.28855670616030693, 0.2847399674355984, 0.2850479418411851, 0.28747435845434666, 0.284921167884022, 0.2921842001378536, 0.2895631860010326, 0.29586359672248363, 0.29058681800961494, 0.29526409693062305, 0.3013205472379923, 0.3013302059844136, 0.30976796709001064, 0.30457345582544804, 0.3152769128791988, 0.3162102960050106, 0.3178141708485782]	77359	0.9145181204154259	0.9205298013245032
Arabic	NER	bert-base-multilingual-cased	attn	6	10000	2000	[0.3577710068784654, 0.3239800361916423, 0.3125344733707607, 0.30284557305276394, 0.29748025769367814, 0.2942338646389544, 0.2965788645669818, 0.2915408303961158, 0.2967535010538995, 0.30186818446964025, 0.30800080485641956, 0.3084266553632915, 0.29545521130785346, 0.29295362113043666, 0.29549816297367215, 0.2994728069752455, 0.30004977947100997, 0.3012681193649769, 0.30309969186782837, 0.31243153428658843, 0.3127202531322837, 0.32416869001463056, 0.323253374081105, 0.3251882563345134, 0.3322445033118129, 0.3449731362052262, 0.33887935103848577, 0.34777245577424765, 0.3449543886817992, 0.3536589234136045, 0.35235555190593004, 0.3480925662443042, 0.3553589843213558, 0.3586061024107039]	77359	0.9138644781756119	0.922858598355287
Arabic	NER	bert-base-multilingual-cased	avg	6	10000	2000	[0.37408672319725156, 0.33651990396901965, 0.31903574150055647, 0.3111319560557604, 0.3022330105304718, 0.2957943482324481, 0.2922027609311044, 0.2854363997466862, 0.28089186549186707, 0.27638577623292804, 0.2725036349147558, 0.2680255104787648, 0.26485525676980615, 0.26566924713552, 0.2613898115232587, 0.2633973569609225, 0.26082680048421025, 0.26017534360289574, 0.25902810227125883, 0.2564429175108671, 0.2589970803819597, 0.25690695689991117, 0.2558818385004997, 0.2555467449128628, 0.25631475960835814, 0.25841261679306626, 0.25739385234192014, 0.25820174207910895, 0.2575416825711727, 0.2568737519904971, 0.25819495879113674, 0.2580100246705115, 0.25962317967787385, 0.25912665063515306, 0.2597211850807071, 0.2605394017882645, 0.2616956476122141]	38858	0.918076839276636	0.9252601702932828
Arabic	NER	bert-base-multilingual-cased	avg	6	10000	2000	[0.38370703579857945, 0.3358882996253669, 0.3204126344062388, 0.306533717084676, 0.29890653071925044, 0.29153754794970155, 0.28748043067753315, 0.28289291728287935, 0.27958732284605503, 0.27622013119980693, 0.27471666131168604, 0.2696678792126477, 0.2688037622720003, 0.26784635707736015, 0.2665954763069749, 0.2623235140927136, 0.26051010424271226, 0.2597214854322374, 0.2591012828052044, 0.2604953278787434, 0.25829237466678023, 0.25931990426033735, 0.2600127779878676, 0.25848405389115214, 0.2587341582402587, 0.25867735827341676, 0.259864816442132, 0.26123735727742314, 0.2612066501751542]	38858	0.9183673469387755	0.9256240448293428
Arabic	NER	bert-base-multilingual-cased	avg	6	10000	2000	[0.3757293173111975, 0.3331491006538272, 0.3176282928325236, 0.30723746167495847, 0.29773135390132666, 0.29290056182071567, 0.28638567170128226, 0.2784435083158314, 0.2761716707609594, 0.2720952690578997, 0.26927934354171157, 0.26834019320085645, 0.26613229187205434, 0.2649480109103024, 0.261405976023525, 0.26119293039664626, 0.26069120317697525, 0.26028465013951063, 0.26261488208547235, 0.2609148481860757, 0.2610211633145809, 0.26260882150381804, 0.26059339940547943, 0.2608920275233686, 0.2616629651747644, 0.26493889233097434, 0.2602706830948591, 0.2624197085388005, 0.263708233833313, 0.263388738501817, 0.2661978527903557, 0.26603089878335595, 0.2673156005330384, 0.2658665208145976, 0.26755238603800535, 0.2690700953826308]	38858	0.9182947200232406	0.9256968197365548
Arabic	NER	bert-base-multilingual-cased	f+l	6	10000	2000	[0.3663827474229038, 0.32716533495113254, 0.31111434753984213, 0.3007642696611583, 0.2946570385247469, 0.29130151588469744, 0.28323964355513453, 0.27792665641754866, 0.2731764907948673, 0.26875154580920935, 0.26622689329087734, 0.2641899255104363, 0.26358850952237844, 0.2605013931170106, 0.25753205828368664, 0.2586326878517866, 0.25691680470481515, 0.2554993354715407, 0.2561929812654853, 0.2547881850041449, 0.25535476114600897, 0.25512385182082653, 0.255104374140501, 0.25600729463621974, 0.2563646291382611, 0.25640260241925716, 0.2573814815841615, 0.25973867159336805, 0.2594707580283284]	38859	0.9185852276853802	0.9276617422312786
Arabic	NER	bert-base-multilingual-cased	f+l	6	10000	2000	[0.3654749155975878, 0.3285394189879298, 0.317541076336056, 0.307235783431679, 0.30205262498930097, 0.29099938040599227, 0.2862816429696977, 0.2817441066727042, 0.2768361014313996, 0.27093037776649, 0.2676103822886944, 0.2636301084421575, 0.26322297425940633, 0.2620214419439435, 0.25961526157334447, 0.256805413402617, 0.2576615745201707, 0.2564939367584884, 0.2556031420826912, 0.2565494766458869, 0.2547944779507816, 0.25524645764380693, 0.2540903720073402, 0.2559122540988028, 0.2560291397385299, 0.2577388412319124, 0.2556537608616054, 0.25682896142825484, 0.2589334505610168, 0.2579270685091615, 0.2607247168198228, 0.2597541925497353, 0.2618857896886766]	38859	0.9196020045028688	0.9289716905610944
Arabic	NER	bert-base-multilingual-cased	f+l	6	10000	2000	[0.36645130114629865, 0.32625385047867894, 0.310165056027472, 0.3015155494213104, 0.2952699209563434, 0.2893805210478604, 0.2829726063646376, 0.2788728573359549, 0.2734724432229996, 0.2693076045252383, 0.26611075550317764, 0.26359793031588197, 0.2614964069798589, 0.2606759765185416, 0.2592932814732194, 0.25903369998559356, 0.25932249892503023, 0.2561917155981064, 0.2557790670543909, 0.25658148527145386, 0.25573062896728516, 0.2566098081879318, 0.25459503708407283, 0.25538611598312855, 0.25551027432084084, 0.2576517597772181, 0.2566053383052349, 0.25789652159437537, 0.25830320129171014, 0.2566644512116909, 0.2575537282973528, 0.2581401513889432, 0.258718513417989, 0.2596730845980346]	38859	0.9189483622630547	0.9267884433447348
Arabic	NER	bert-base-multilingual-cased	first	6	10000	2000	[0.36979672173038125, 0.33083539083600044, 0.31374879740178585, 0.301365225110203, 0.2981195682659745, 0.29492866853252053, 0.2924712314270437, 0.2852165810763836, 0.28049942199140787, 0.2788216373883188, 0.2762694018892944, 0.2738785073161125, 0.27078508445993066, 0.2692275200970471, 0.27042137272655964, 0.2674040347337723, 0.2662581601180136, 0.26493863156065345, 0.26535486755892634, 0.2645904957316816, 0.26508456096053123, 0.2629555957391858, 0.2637253641150892, 0.2651961212977767, 0.26471130596473813, 0.2660515592433512, 0.2661647778004408]	38858	0.9162611663882635	0.9240957717778908
