language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc
Arabic	case_noun	bert-base-multilingual-cased	attn	6	2001	201	[0.7603568434715271, 0.6073245406150818, 0.5322412252426147, 0.4917040169239044, 0.45837631821632385, 0.45210668444633484, 0.4403686821460724, 0.44054511189460754, 0.43687742948532104, 0.43360407650470734, 0.44330163300037384, 0.45497018098831177, 0.46653102338314056, 0.46758195757865906, 0.4950161278247833, 0.4767288714647293]	77104	0.8557213930348259	0.7512437810945274
Arabic	case_noun	bert-base-multilingual-cased	attn	6	2001	201	[0.8120715022087097, 0.6343194842338562, 0.5348113775253296, 0.48748423159122467, 0.4577823877334595, 0.45002421736717224, 0.42873959243297577, 0.42229075729846954, 0.435809850692749, 0.42121969163417816, 0.43804869055747986, 0.45094723999500275, 0.46114131808280945, 0.46860720217227936, 0.48145686089992523, 0.5450053662061691, 0.5102734267711639]	77104	0.8507462686567164	0.7512437810945274
Arabic	case_noun	bert-base-multilingual-cased	attn	6	2001	201	[0.7881509959697723, 0.6382339000701904, 0.5481198728084564, 0.48949284851551056, 0.46571560204029083, 0.45420362055301666, 0.4420378506183624, 0.4394730478525162, 0.454788014292717, 0.4413335919380188, 0.46560652554035187, 0.4685884118080139, 0.4682409018278122, 0.45004503428936005, 0.4475520998239517, 0.44589856266975403, 0.46399565041065216, 0.4500516355037689, 0.4467449486255646, 0.4724458158016205, 0.47766345739364624]	77104	0.845771144278607	0.7611940298507462
Arabic	case_noun	bert-base-multilingual-cased	avg	6	2001	201	[0.8210471570491791, 0.696925550699234, 0.5966986417770386, 0.5441128611564636, 0.5193345248699188, 0.503624215722084, 0.4927097409963608, 0.4951601177453995, 0.49733760952949524, 0.5030554831027985, 0.5157428830862045, 0.5230231583118439, 0.5287034958600998, 0.5432103127241135]	38603	0.8059701492537313	0.746268656716418
Arabic	case_noun	bert-base-multilingual-cased	avg	6	2001	201	[0.8184748291969299, 0.6811626851558685, 0.5816597640514374, 0.5297099351882935, 0.5029563307762146, 0.48859357833862305, 0.48693056404590607, 0.4896853119134903, 0.4857252389192581, 0.4933359920978546, 0.502988874912262, 0.5061995685100555, 0.5241456925868988, 0.5391228497028351]	38603	0.8059701492537313	0.746268656716418
Arabic	case_noun	bert-base-multilingual-cased	avg	6	2001	201	[0.8431385457515717, 0.7085979878902435, 0.5943363606929779, 0.5361608862876892, 0.5101227760314941, 0.49389389157295227, 0.480301097035408, 0.4846366047859192, 0.4882012605667114, 0.4864718019962311, 0.5036836117506027, 0.5198383927345276, 0.5205435156822205, 0.5289717614650726, 0.5391899645328522]	38603	0.8059701492537313	0.7562189054726368
Arabic	case_noun	bert-base-multilingual-cased	f+l	6	2001	201	[0.7983635663986206, 0.6310506761074066, 0.5337502658367157, 0.4884757995605469, 0.4593963176012039, 0.4465999901294708, 0.4387841373682022, 0.4389323443174362, 0.4519619345664978, 0.4510921537876129, 0.4512883871793747, 0.46011267602443695, 0.46411454677581787, 0.4595227390527725]	38604	0.8407960199004975	0.7562189054726368
Arabic	case_noun	bert-base-multilingual-cased	f+l	6	2001	201	[0.7861518561840057, 0.6498432755470276, 0.5514356791973114, 0.49757926166057587, 0.4720927029848099, 0.4596889615058899, 0.45161858201026917, 0.44772569835186005, 0.4552047401666641, 0.45619508624076843, 0.45465826988220215, 0.45622995495796204, 0.4725971966981888, 0.47080712020397186]	38604	0.8407960199004975	0.7363184079601991
Arabic	case_noun	bert-base-multilingual-cased	f+l	6	2001	201	[0.7966930270195007, 0.6573470234870911, 0.5590118169784546, 0.5071441829204559, 0.4799776077270508, 0.46768127381801605, 0.4604487419128418, 0.4560292512178421, 0.45559200644493103, 0.45955362915992737, 0.46639569103717804, 0.4690001904964447, 0.46503864228725433, 0.46493425965309143, 0.46216003596782684]	38604	0.8308457711442786	0.7512437810945274
Arabic	case_noun	bert-base-multilingual-cased	first	6	2001	201	[0.8158091306686401, 0.7014757394790649, 0.6390994191169739, 0.5917190313339233, 0.5667704939842224, 0.5545496642589569, 0.5475459694862366, 0.5452846884727478, 0.5400229394435883, 0.5394671559333801, 0.5348342061042786, 0.5392361581325531, 0.5414345562458038, 0.5484196543693542, 0.540404736995697, 0.5545243620872498, 0.5371694266796112, 0.5372150838375092, 0.5364663451910019, 0.5407572090625763, 0.549384355545044, 0.5526993274688721, 0.5510644018650055, 0.5694276988506317]	38603	0.8159203980099502	0.7562189054726368
