language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc	test_F_score
Arabic	NER	bert-base-multilingual-cased	first	0	2000	200	[1.213935136795044, 1.0435763597488403, 0.965041309595108, 0.9332444965839386, 0.9153624773025513, 0.9038277864456177, 0.8937011659145355, 0.8870659470558167, 0.8832122683525085, 0.8809468746185303, 0.8769009411334991, 0.8740276396274567, 0.8731464445590973, 0.8716996908187866, 0.8670152723789215, 0.8660549521446228, 0.8643420338630676, 0.8604686558246613, 0.8595430254936218, 0.8577675223350525, 0.8584649860858917, 0.857687771320343, 0.8558162748813629, 0.8526743352413177, 0.8510503172874451, 0.8510633111000061, 0.8508815467357635, 0.8530923128128052, 0.8521293997764587, 0.8508065044879913, 0.8503665030002594, 0.851988822221756, 0.8511239588260651, 0.8496806025505066, 0.850877195596695, 0.8531474173069, 0.8527292609214783, 0.8549701869487762]	38858	0.7175792507204611	0.6924532421221163	
Arabic	NER	bert-base-multilingual-cased	first	0	2000	200	[1.3326374292373657, 1.1059908270835876, 0.9996827244758606, 0.9515241980552673, 0.9264844357967377, 0.9124594032764435, 0.9023742079734802, 0.8936551809310913, 0.8874949514865875, 0.8852894604206085, 0.882004052400589, 0.8800325095653534, 0.8776573240756989, 0.8747076094150543, 0.874729722738266, 0.8742699325084686, 0.8728981912136078, 0.8703530430793762, 0.8680714964866638, 0.8678605854511261, 0.8680071234703064, 0.8665755093097687, 0.8645321726799011, 0.8613861799240112, 0.8609024882316589, 0.8602192401885986, 0.8599572479724884, 0.8603667616844177, 0.8620615303516388, 0.8610982298851013, 0.8620543777942657, 0.8626329302787781]	38858	0.7110951008645533	0.6920893675860563	
Arabic	NER	bert-base-multilingual-cased	first	0	2000	200	[1.2457636594772339, 1.0575851798057556, 0.966736227273941, 0.9310911297798157, 0.914849579334259, 0.903882622718811, 0.8974209427833557, 0.8923341929912567, 0.8890012204647064, 0.8862559795379639, 0.882840484380722, 0.8803242743015289, 0.878104567527771, 0.8753779232501984, 0.8744461536407471, 0.8743208944797516, 0.8717143535614014, 0.8715850710868835, 0.869762122631073, 0.8712537288665771, 0.8696353435516357, 0.8700799942016602, 0.8684997856616974, 0.8689520061016083, 0.8683663308620453, 0.8697296977043152, 0.8689313530921936, 0.8685617744922638, 0.8677048981189728, 0.8685639798641205, 0.8685270547866821, 0.8680499792098999, 0.8684843480587006, 0.8698103725910187]	38858	0.7146974063400576	0.6886689469470927	
Arabic	NER	bert-base-multilingual-cased	last	0	2000	200	[1.2611368298530579, 1.0649449825286865, 0.9914932548999786, 0.9602577984333038, 0.9422462582588196, 0.930114209651947, 0.9223674535751343, 0.9159463942050934, 0.9098623096942902, 0.904742956161499, 0.9032221734523773, 0.8998605906963348, 0.8950331211090088, 0.8959315419197083, 0.8964818120002747, 0.8970595896244049, 0.8963010907173157, 0.8961413204669952, 0.8959775865077972, 0.8965883553028107, 0.8952859938144684, 0.8968490660190582, 0.8990246951580048, 0.900212287902832, 0.9003478586673737, 0.9008934795856476]	38858	0.702449567723343	0.6907794192562404	
Arabic	NER	bert-base-multilingual-cased	last	0	2000	200	[1.2761975526809692, 1.0786367058753967, 1.001185804605484, 0.9656682312488556, 0.9453541934490204, 0.9302278757095337, 0.9206814169883728, 0.9152942001819611, 0.9084827899932861, 0.9034594893455505, 0.8991182744503021, 0.8985056281089783, 0.8966690301895142, 0.8952579498291016, 0.8938494920730591, 0.8922626376152039, 0.8912385404109955, 0.8924599289894104, 0.8931945562362671, 0.8914291560649872, 0.8915877044200897, 0.8930661380290985, 0.8931900262832642, 0.8945461511611938, 0.8949942588806152, 0.8978009223937988, 0.8994101881980896]	38858	0.702449567723343	0.6922349174004803	
Arabic	NER	bert-base-multilingual-cased	last	0	2000	200	[1.2942060232162476, 1.0900307893753052, 1.0067852139472961, 0.9652745127677917, 0.9425214231014252, 0.9296206533908844, 0.9195905029773712, 0.9115373492240906, 0.9076104760169983, 0.9038783609867096, 0.9012653827667236, 0.8959569036960602, 0.8950862288475037, 0.896897941827774, 0.8942087590694427, 0.8931872546672821, 0.8935486376285553, 0.8919651806354523, 0.8898450136184692, 0.8880830705165863, 0.8876940310001373, 0.8857246935367584, 0.8874573409557343, 0.8879173398017883, 0.8904761672019958, 0.8921418190002441, 0.8885617256164551, 0.8918138146400452, 0.8918369710445404, 0.8932542204856873, 0.8920760750770569, 0.8932403326034546, 0.8942084312438965, 0.8922383785247803, 0.8976388573646545]	38858	0.7146974063400576	0.6940542900807801	
Arabic	NER	bert-base-multilingual-cased	first	1	2000	200	[1.1714133024215698, 0.952102541923523, 0.8500992655754089, 0.8009284436702728, 0.7723298668861389, 0.7510531842708588, 0.7341936826705933, 0.7192055284976959, 0.708898514509201, 0.7000589370727539, 0.6914046108722687, 0.6859202086925507, 0.6771073341369629, 0.669053316116333, 0.667447954416275, 0.6631521582603455, 0.6596505343914032, 0.656018078327179, 0.6506461799144745, 0.6501776278018951, 0.6495873034000397, 0.6463336944580078, 0.647038459777832, 0.6430027782917023, 0.639985203742981, 0.6392131447792053, 0.640303909778595, 0.6399109959602356, 0.6354227364063263, 0.6344189047813416, 0.6380886733531952, 0.635992020368576, 0.6359816789627075, 0.6318104863166809, 0.6336517930030823, 0.6336273550987244, 0.6372998654842377, 0.6334497332572937, 0.6354289948940277, 0.6348821520805359, 0.6332365572452545, 0.6339222490787506, 0.6338479518890381, 0.6316987574100494, 0.6380662322044373, 0.6338713467121124, 0.6350069642066956, 0.6396294236183167, 0.632180392742157, 0.6325328350067139, 0.6336337327957153]	38858	0.819164265129683	0.7965941343424787	
Arabic	NER	bert-base-multilingual-cased	first	1	2000	200	[1.2529754638671875, 0.9974462985992432, 0.8735346496105194, 0.8169272840023041, 0.7826884090900421, 0.7576853036880493, 0.7405222058296204, 0.7253950834274292, 0.7136376202106476, 0.7031722366809845, 0.6963152587413788, 0.6884340941905975, 0.6859749257564545, 0.6796281635761261, 0.6756126284599304, 0.6694823801517487, 0.6617342829704285, 0.6577432155609131, 0.658444344997406, 0.6561385691165924, 0.6550808548927307, 0.6506654620170593, 0.6517910957336426, 0.6490049362182617, 0.6442041099071503, 0.6453403830528259, 0.640801876783371, 0.6436423063278198, 0.6378164887428284, 0.6373529732227325, 0.6383683085441589, 0.6373142004013062, 0.6358635425567627, 0.6361077129840851, 0.6304369568824768, 0.6339093744754791, 0.6308332979679108, 0.6320426762104034, 0.6310460567474365, 0.6292003691196442, 0.6289680004119873, 0.6315507590770721, 0.6283329725265503, 0.6300294101238251, 0.6317853331565857, 0.632516622543335]	38858	0.8141210374639769	0.7975402081362346	
Arabic	NER	bert-base-multilingual-cased	first	1	2000	200	[1.1873557567596436, 0.9454132318496704, 0.8438050448894501, 0.8020058870315552, 0.7740815579891205, 0.7520128190517426, 0.7331594526767731, 0.7198463678359985, 0.7095987200737, 0.7016216814517975, 0.6932108104228973, 0.686326801776886, 0.6779775023460388, 0.6714613735675812, 0.6692508161067963, 0.6646004021167755, 0.6629462242126465, 0.657160222530365, 0.6509070694446564, 0.6506428718566895, 0.6470622718334198, 0.6429171860218048, 0.6409824788570404, 0.6396002471446991, 0.63876011967659, 0.6407497525215149, 0.6388633251190186, 0.6359450221061707, 0.6340717971324921, 0.6312914192676544, 0.6314029693603516, 0.6287992298603058, 0.6285319924354553, 0.6296903192996979, 0.6283140182495117, 0.6306287944316864, 0.6282444596290588, 0.6336681246757507, 0.6279094219207764, 0.6234033405780792, 0.6253068447113037, 0.6254818439483643, 0.6298002898693085, 0.630083292722702, 0.6319208443164825, 0.6335899531841278]	38858	0.8155619596541787	0.7953569609198748	
Arabic	NER	bert-base-multilingual-cased	last	1	2000	200	[1.2121610641479492, 0.9629285931587219, 0.8590696752071381, 0.8127379417419434, 0.7841503322124481, 0.7617835700511932, 0.7456397414207458, 0.73279869556427, 0.7235581874847412, 0.716404914855957, 0.7090112268924713, 0.7026764750480652, 0.6976101994514465, 0.6961737275123596, 0.6923252642154694, 0.6904425323009491, 0.6892888247966766, 0.6849744021892548, 0.6844142973423004, 0.6844392120838165, 0.6825524270534515, 0.6824123561382294, 0.6799293160438538, 0.6794476509094238, 0.6783362329006195, 0.6805446147918701, 0.6789520084857941, 0.6794973015785217, 0.6822101771831512, 0.6809687614440918, 0.6823279559612274, 0.6794919669628143, 0.6812899112701416, 0.683411180973053, 0.6853029429912567, 0.6860179603099823, 0.6861896514892578, 0.6808276772499084, 0.685469925403595, 0.6829282939434052, 0.6818708777427673, 0.6855294108390808, 0.6863796710968018, 0.6887518465518951, 0.6870779693126678]	38858	0.797550432276657	0.7767265846736046	
