language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc
Arabic	case_noun	bert-base-multilingual-cased	first	0	2001	201	[1.006291002035141, 0.9973654747009277, 1.0054312944412231, 1.0044230818748474, 1.0094956159591675, 1.0208151042461395, 1.0220134258270264, 1.0346310436725616, 1.052724301815033, 1.0524456799030304, 1.0601691007614136]	38603	0.582089552238806	0.4577114427860697
Arabic	case_noun	bert-base-multilingual-cased	first	0	2001	201	[1.009387880563736, 1.003610074520111, 1.005758911371231, 1.0157779455184937, 1.0255510807037354, 1.035795122385025, 1.0488845705986023, 1.0510170757770538, 1.0534393191337585, 1.0527373850345612, 1.0563482344150543, 1.060874342918396]	38603	0.572139303482587	0.4378109452736319
Arabic	case_noun	bert-base-multilingual-cased	first	0	2001	201	[1.037244588136673, 1.0304680168628693, 1.029953271150589, 1.0256406664848328, 1.0226604044437408, 1.0309738218784332, 1.037197470664978, 1.0471672415733337, 1.0483079552650452, 1.0559170544147491, 1.0599498450756073, 1.0710229575634003, 1.0748997032642365]	38603	0.5621890547263682	0.4378109452736319
Arabic	case_noun	bert-base-multilingual-cased	last	0	2001	201	[0.9223268926143646, 0.8904122412204742, 0.885860949754715, 0.8931410908699036, 0.8957681357860565, 0.9017681181430817, 0.9091143012046814, 0.9263556003570557, 0.9245377779006958, 0.9330099523067474]	38603	0.572139303482587	0.4626865671641791
Arabic	case_noun	bert-base-multilingual-cased	last	0	2001	201	[0.9075706303119659, 0.8944928050041199, 0.890183299779892, 0.89207324385643, 0.8973188102245331, 0.9003175497055054, 0.9013060927391052, 0.912921816110611, 0.9166434109210968, 0.9238702356815338, 0.9443579614162445, 0.9338492453098297, 0.9547663331031799, 0.9622277915477753, 0.9675198495388031]	38603	0.582089552238806	0.4925373134328358
Arabic	case_noun	bert-base-multilingual-cased	last	0	2001	201	[0.8979029059410095, 0.905424565076828, 0.9021373987197876, 0.8954079747200012, 0.8929728865623474, 0.9021941721439362, 0.9121120572090149, 0.9167681634426117, 0.9222633838653564, 0.9248220026493073, 0.9280694425106049, 0.9398398399353027]	38603	0.5870646766169154	0.4726368159203979
Arabic	case_noun	bert-base-multilingual-cased	first	1	2001	201	[1.0052313804626465, 0.9987522661685944, 1.0024842321872711, 1.0065972208976746, 1.00945582985878, 1.02308189868927, 1.0303878784179688, 1.034003108739853, 1.0290549099445343, 1.0385551750659943]	38603	0.5671641791044776	0.4328358208955224
Arabic	case_noun	bert-base-multilingual-cased	first	1	2001	201	[1.0036942064762115, 1.003396064043045, 1.010347157716751, 1.0154820382595062, 1.0150880813598633, 1.0266288816928864, 1.0339558720588684, 1.0320769548416138, 1.0430664122104645, 1.0446425378322601, 1.0486252307891846, 1.054619163274765, 1.061841607093811, 1.0541824698448181, 1.0653209388256073, 1.0663774907588959, 1.0707116425037384, 1.0883740484714508, 1.0757891535758972]	38603	0.5771144278606966	0.4676616915422885
Arabic	case_noun	bert-base-multilingual-cased	first	1	2001	201	[1.019083708524704, 1.0138192474842072, 1.0093190371990204, 1.0040418803691864, 1.0050871074199677, 1.008798599243164, 1.0144142508506775, 1.0271269977092743, 1.0219441652297974, 1.0344249606132507, 1.0445692539215088, 1.0520323812961578]	38603	0.5771144278606966	0.4676616915422885
Arabic	case_noun	bert-base-multilingual-cased	last	1	2001	201	[0.9203482568264008, 0.9078603088855743, 0.8998616933822632, 0.8878619074821472, 0.8777946829795837, 0.8840519487857819, 0.8981612026691437, 0.8879087567329407, 0.8937419056892395, 0.9049626588821411, 0.9130269289016724, 0.924256831407547, 0.9219160974025726, 0.931827038526535, 0.945238322019577]	38603	0.6218905472636815	0.5422885572139303
Arabic	case_noun	bert-base-multilingual-cased	last	1	2001	201	[0.9214456677436829, 0.8960077166557312, 0.8904956877231598, 0.8890798985958099, 0.8879285454750061, 0.8929779231548309, 0.9012528955936432, 0.9031159281730652, 0.9023627042770386, 0.9020019471645355]	38603	0.6169154228855721	0.4975124378109453
Arabic	case_noun	bert-base-multilingual-cased	last	1	2001	201	[0.9251898229122162, 0.9006761014461517, 0.9059642255306244, 0.9050189554691315, 0.9036906957626343, 0.9088161885738373, 0.9165267944335938, 0.9152499735355377, 0.9233154356479645, 0.9336353242397308, 0.9232827425003052, 0.92938232421875, 0.9059551358222961, 0.9114308655261993, 0.9246810078620911, 0.9377525746822357, 0.9666880071163177]	38603	0.6119402985074627	0.5373134328358209
Arabic	case_noun	bert-base-multilingual-cased	first	10	2001	201	[0.8131872117519379, 0.6971049904823303, 0.6407530903816223, 0.5937456786632538, 0.5869805812835693, 0.5685135722160339, 0.5668080449104309, 0.5799611210823059, 0.5355022549629211, 0.5491406321525574, 0.555642694234848, 0.5529626607894897, 0.5685851573944092, 0.5783987939357758, 0.5690074563026428, 0.5707527697086334, 0.5922316908836365, 0.5787647664546967]	38603	0.8009950248756219	0.7263681592039801
Arabic	case_noun	bert-base-multilingual-cased	first	10	2001	201	[0.7980650365352631, 0.6880407333374023, 0.6443815231323242, 0.5989524126052856, 0.5693514049053192, 0.568943053483963, 0.5752204060554504, 0.5583808720111847, 0.5813068747520447, 0.5581757426261902, 0.5638929307460785, 0.5630860030651093, 0.556907594203949, 0.598857194185257, 0.6187905371189117, 0.5982562005519867, 0.573387086391449, 0.5710154473781586, 0.5878781378269196, 0.5741801559925079, 0.5681391358375549, 0.5986599922180176, 0.5770675092935562, 0.6132748574018478, 0.6167344152927399]	38603	0.7910447761194029	0.7164179104477612
Arabic	case_noun	bert-base-multilingual-cased	first	10	2001	201	[0.8358127772808075, 0.7304480075836182, 0.654354989528656, 0.6080479919910431, 0.5899332761764526, 0.5707468390464783, 0.5585919320583344, 0.5397125780582428, 0.570624440908432, 0.5467259287834167, 0.5591587722301483, 0.5627450942993164, 0.5591245293617249, 0.5470759868621826, 0.5874698162078857, 0.5807571411132812, 0.5841991007328033, 0.5857192575931549, 0.5996640920639038, 0.6162837147712708, 0.62579545378685, 0.65273517370224, 0.6403668522834778, 0.6820822358131409]	38603	0.7960199004975125	0.7263681592039801
Arabic	case_noun	bert-base-multilingual-cased	last	10	2001	201	[0.8668144047260284, 0.7500017285346985, 0.6731172204017639, 0.6464180052280426, 0.6301295459270477, 0.6211613118648529, 0.6101814806461334, 0.6167537569999695, 0.6228300631046295, 0.6138832569122314, 0.6014967560768127, 0.6129648089408875, 0.5998319387435913, 0.6128636598587036, 0.6133812963962555, 0.6236701011657715, 0.6316145360469818, 0.6270379424095154, 0.6398598253726959, 0.6367867887020111, 0.6136192381381989, 0.6030803918838501]	38603	0.7910447761194029	0.7114427860696517
Arabic	case_noun	bert-base-multilingual-cased	last	10	2001	201	[0.8741148412227631, 0.7914478778839111, 0.6990929841995239, 0.6569070219993591, 0.635602593421936, 0.6199178695678711, 0.6087911128997803, 0.6167242527008057, 0.6076588332653046, 0.6066021025180817, 0.6033574938774109, 0.6047767698764801, 0.6228531301021576, 0.6087919175624847, 0.6024312078952789, 0.611009955406189, 0.6139321029186249, 0.6242380142211914, 0.6433499753475189, 0.6529047787189484, 0.651434451341629, 0.6511447727680206]	38603	0.7761194029850746	0.7313432835820896
Arabic	case_noun	bert-base-multilingual-cased	last	10	2001	201	[0.8788868188858032, 0.7652407288551331, 0.6864892244338989, 0.6650823354721069, 0.6521304249763489, 0.6307705342769623, 0.6357711255550385, 0.6288083791732788, 0.6154646873474121, 0.6084505915641785, 0.6126552224159241, 0.616596519947052, 0.6230044662952423, 0.6169230043888092, 0.612575501203537, 0.6146237552165985, 0.6027047038078308, 0.6172982752323151, 0.6348638534545898, 0.6188156008720398, 0.6330889463424683, 0.641084611415863, 0.6258094012737274, 0.6434479057788849, 0.6514622867107391, 0.6377102434635162, 0.6371020078659058, 0.6270918548107147, 0.6272367238998413, 0.6313837468624115, 0.6452020108699799, 0.6781954765319824]	38603	0.7910447761194029	0.7164179104477612
Arabic	case_noun	bert-base-multilingual-cased	first	11	2001	201	[0.8329033553600311, 0.7345015704631805, 0.6536854803562164, 0.6173479855060577, 0.5786857306957245, 0.5561480224132538, 0.567713052034378, 0.559203565120697, 0.5595740377902985, 0.5659925937652588, 0.5949178040027618, 0.5741294324398041, 0.5857611894607544]	38603	0.7661691542288557	0.7014925373134329
Arabic	case_noun	bert-base-multilingual-cased	first	11	2001	201	[0.8265425264835358, 0.7212817072868347, 0.6480603218078613, 0.600515604019165, 0.5749624371528625, 0.5742078423500061, 0.5531509816646576, 0.5715858340263367, 0.5463210344314575, 0.5440914332866669, 0.5568329989910126, 0.5594555735588074, 0.5614331364631653, 0.5818208158016205, 0.5662650167942047, 0.5764891803264618, 0.5944215953350067, 0.6021790206432343]	38603	0.7910447761194029	0.7263681592039801
Arabic	case_noun	bert-base-multilingual-cased	first	11	2001	201	[0.8718942999839783, 0.7513153254985809, 0.6817559897899628, 0.6174633800983429, 0.5884084403514862, 0.5670259594917297, 0.5689397752285004, 0.5442021489143372, 0.5247723013162613, 0.5480852425098419, 0.5286245048046112, 0.5510675609111786, 0.5473505258560181, 0.5826615691184998, 0.5633158385753632, 0.583667665719986]	38603	0.7810945273631841	0.7412935323383084
Arabic	case_noun	bert-base-multilingual-cased	last	11	2001	201	[0.9063696563243866, 0.820541262626648, 0.7648654282093048, 0.7312853336334229, 0.7159945964813232, 0.7090588808059692, 0.6845547258853912, 0.6689532399177551, 0.6775627732276917, 0.6733393967151642, 0.6739048659801483, 0.6839896142482758, 0.6696921288967133, 0.6514797210693359, 0.6606537103652954, 0.6709469854831696, 0.6804041862487793, 0.6840960383415222, 0.6734561622142792, 0.6697728037834167, 0.65305495262146, 0.6703107953071594, 0.6762253940105438, 0.7029772698879242, 0.7084489464759827, 0.705071747303009, 0.7115615606307983]	38603	0.7661691542288557	0.7014925373134329
